season,team,name,age,g,gs,mp,fgperc,reb,ast,stl,blk,tov,ptsg,ws,sal
2006,MIA,Dwyane Wade,25,51,50,37.900002,0.491,4.6999998,7.5,2.0999999,1.2,4.1999998,27.4,8.8000002,3.841443
2013,NYK,Carmelo Anthony,29,77,77,38.700001,0.45199999,8.1000004,3.0999999,1.2,0.69999999,2.5999999,27.4,10.7,22.407474
2012,LAL,Kobe Bryant,34,78,78,38.599998,0.463,5.5999999,6,1.4,0.30000001,3.7,27.299999,10.9,27.849149
2006,CLE,LeBron James,22,78,78,40.900002,0.47600001,6.6999998,6,1.6,0.69999999,3.2,27.299999,13.7,5.82809
2001,LAL,Shaquille O'Neal,29,67,66,36.099998,0.579,10.7,3,0.60000002,2,2.5999999,27.200001,13.2,21.428572
2005,MIA,Dwyane Wade,24,75,75,38.599998,0.495,5.6999998,6.6999998,1.9,0.80000001,3.5999999,27.200001,14.4,3.03192
2004,CLE,LeBron James,20,80,80,42.400002,0.472,7.4000001,7.1999998,2.2,0.69999999,3.3,27.200001,14.3,4.32036
2011,MIA,LeBron James,27,62,62,37.5,0.53100002,7.9000001,6.1999998,1.9,0.80000001,3.4000001,27.1,14.5,16.0225
2013,MIA,LeBron James,29,77,77,37.700001,0.56699997,6.9000001,6.3000002,1.6,0.30000001,3.5,27.1,15.9,19.0675
2000,SAC,Chris Webber,27,70,70,40.5,0.48100001,11.1,4.1999998,1.3,1.7,2.8,27.1,11,12
1997,UTA,Karl Malone,34,81,81,37.400002,0.52999997,10.3,3.9000001,1.2,0.89999998,3,27,16.4,5.118578
2009,LAL,Kobe Bryant,31,73,73,38.799999,0.456,5.4000001,5,1.5,0.30000001,3.2,27,9.3999996,23.034375
2015,SAC,DeMarcus Cousins,25,65,65,34.599998,0.45100001,11.5,3.3,1.6,1.4,3.8,26.9,5.6999998,14.728844
1995,HOU,Hakeem Olajuwon,33,72,72,38.799999,0.514,10.9,3.5999999,1.6,2.9000001,3.4000001,26.9,9.6999998,5.305
2008,LAL,Kobe Bryant,30,82,82,36.099998,0.46700001,5.1999998,4.9000001,1.5,0.5,2.5999999,26.799999,12.7,21.2625
2012,MIA,LeBron James,28,76,76,37.900002,0.565,8,7.3000002,1.7,0.89999998,3,26.799999,19.299999,17.545
2005,BOS,Paul Pierce,28,79,79,39,0.47099999,6.6999998,4.6999998,1.4,0.40000001,3.5,26.799999,11.5,13.843156
2000,ORL,Tracy McGrady,21,77,77,40.099998,0.45699999,7.5,4.5999999,1.5,1.5,2.5999999,26.799999,12.2,9.66
1998,PHI,Allen Iverson,23,48,48,41.5,0.412,4.9000001,4.5999999,2.3,0.1,3.5,26.799999,7.1999998,3.537
1996,CHA,Glen Rice,29,79,78,42.599998,0.477,4,2,0.89999998,0.30000001,2.2,26.799999,10.8,4.002
2006,MIL,Michael Redd,27,53,53,38.400002,0.465,3.7,2.3,1.2,0.2,2.3,26.700001,6.0999999,13.26
2010,MIA,LeBron James,26,79,79,38.799999,0.50999999,7.5,7,1.6,0.60000002,3.5999999,26.700001,15.6,14.5
1995,ORL,Shaquille O'Neal,23,54,52,36,0.57300001,11,2.9000001,0.60000002,2.0999999,2.9000001,26.6,6.9000001,5.7
2009,MIA,Dwyane Wade,28,77,77,36.299999,0.47600001,4.8000002,6.5,1.8,1.1,3.3,26.6,13,15.779912
2005,DAL,Dirk Nowitzki,27,81,81,38.099998,0.47999999,9,2.8,0.69999999,1,1.9,26.6,17.700001,13.843156
2005,DEN,Carmelo Anthony,21,80,80,36.799999,0.48100001,4.9000001,2.7,1.1,0.5,2.7,26.5,9.3999996,3.71364
2006,OKC,Ray Allen,31,55,55,40.299999,0.43799999,4.5,4.0999999,1.5,0.2,2.8,26.4,6.3000002,14.61157
2007,DEN,Allen Iverson,32,82,82,41.799999,0.458,3,7.0999999,2,0.1,3,26.4,11.6,19.0125
2003,PHI,Allen Iverson,28,48,47,42.5,0.38699999,3.7,6.8000002,2.4000001,0.1,4.4000001,26.4,2.8,13.5
1998,LAL,Shaquille O'Neal,26,49,49,34.799999,0.57599998,10.7,2.3,0.69999999,1.7,2.5,26.299999,9,15
2010,NYK,Carmelo Anthony,26,27,27,36.200001,0.461,6.6999998,3,0.89999998,0.60000002,2.4000001,26.299999,3.2,17.149243
1996,LAL,Shaquille O'Neal,24,51,51,38.099998,0.55699998,12.5,3.0999999,0.89999998,2.9000001,2.9000001,26.200001,8,10.714
2012,MIN,Kevin Love,25,77,77,36.299999,0.45699999,12.5,4.4000001,0.80000001,0.5,2.5,26.1,1.1,13.66875
2013,MIN,Kevin Love,25,77,77,36.299999,0.45699999,12.5,4.4000001,0.80000001,0.5,2.5,26.1,14.3,14.693906
2004,DAL,Dirk Nowitzki,26,78,78,38.700001,0.45899999,9.6999998,3.0999999,1.2,1.5,2.3,26.1,15.6,12.584688
2001,BOS,Paul Pierce,24,82,82,40.299999,0.442,6.9000001,3.2,1.9,1,2.9000001,26.1,12.9,2.051271
2004,PHX,Amar'e Stoudemire,22,80,80,36.099998,0.55900002,8.8999996,1.6,1,1.6,2.4000001,26,14.6,2.0322
2011,MIN,Kevin Love,23,55,55,39,0.44800001,13.3,2,0.89999998,0.5,2.3,26,10,4.609701
2008,DAL,Dirk Nowitzki,30,81,81,37.700001,0.479,8.3999996,2.4000001,0.80000001,0.80000001,1.9,25.9,10.9,18.077904
2012,HOU,James Harden,23,78,78,38.299999,0.43799999,4.9000001,5.8000002,1.8,0.5,3.8,25.9,12.8,5.820417
1996,SAC,Mitch Richmond,31,81,81,38.599998,0.454,3.9000001,4.1999998,1.5,0.30000001,2.9000001,25.9,10.8,3.575
2002,BOS,Paul Pierce,25,79,79,39.200001,0.41600001,7.3000002,4.4000001,1.8,0.80000001,3.5999999,25.9,10.1,10.06775
2008,IND,Danny Granger,25,67,66,36.200001,0.447,5.0999999,2.7,1,1.4,2.5,25.799999,8,2.329805
1999,DET,Grant Hill,27,74,74,37.5,0.48899999,6.5999999,5.1999998,1.4,0.60000002,3.2,25.799999,10.7,6.939
2007,DEN,Carmelo Anthony,23,77,77,36.400002,0.49200001,7.4000001,3.4000001,1.3,0.5,3.3,25.700001,8.1999998,13.04125
1995,UTA,Karl Malone,32,82,82,38,0.51899999,9.8000002,4.1999998,1.7,0.69999999,2.4000001,25.700001,15.1,3.676
1999,TOR,Vince Carter,23,82,82,38.099998,0.465,5.8000002,3.9000001,1.3,1.1,2.2,25.700001,11.8,2.26728
2004,HOU,Tracy McGrady,25,78,78,40.799999,0.43099999,6.1999998,5.6999998,1.7,0.69999999,2.5999999,25.700001,12,14.487
2001,ORL,Tracy McGrady,22,76,76,38.299999,0.45100001,7.9000001,5.3000002,1.6,1,2.5,25.6,11.5,10.86525
1999,UTA,Karl Malone,36,82,82,35.900002,0.509,9.5,3.7,1,0.89999998,2.8,25.5,15.3,14
2010,MIA,Dwyane Wade,29,76,76,37.099998,0.5,6.4000001,4.5999999,1.5,1.1,3.0999999,25.5,12.8,14.2
